"unigram","bigram","freq"
"man","honor",18
"marvel","studios",18
"merry","christmas",18
"metta","world",18
"minutes","add",18
"mis","sigs",18
"mitigated","intersections",18
"mobile","app",18
"money","bitches",18
"monopoly","money",18
"month","concertcontest",18
"nail","polish",18
"need","tshirts",18
"new","friends",18
"new","twitter",18
"night","hubs",18
"nothing","just",18
"now","know",18
"now","watch",18
"octane","gallery",18
"one","lol",18
"one","night",18
"onion","cook",18
"online","will",18
"party","going",18
"peas","head",18
"please","come",18
"poker","needs",18
"printed","great",18
"proceeds","make",18
"promote","band",18
"pu","bef",18
"ready","summer",18
"really","happy",18
"really","watch",18
"respected","even",18
"rich","honesty",18
"risk","accessor",18
"rock","peas",18
"rt","new",18
"rt","received",18
"rt","u",18
"rules","game",18
"safetec","lexington",18
"school","district",18
"second","time",18
"several","years",18
"shop","support",18
"sitting","around",18
"situation","man",18
"sleeping","night",18
"small","amount",18
"something","can",18
"spot","thedifference",18
"start","making",18
"step","closer",18
"stop","really",18
"store","cvs",18
"stretch","month",18
"studying","abroad",18
"summer","love",18
"super","bowl",18
"support","lovely",18
"sweet","potato",18
"sxsw","attendees",18
"sy","great",18
"tell","truth",18
"th","will",18
"thanks","ditching",18
"thanks","like",18
"things","want",18
"think","just",18
"thrills","shop",18
"time","lame",18
"time","watch",18
"today","first",18
"tried","work",18
"truth","situation",18
"try","stop",18
"tshirts","printed",18
"two","days",18
"two","words",18
"u","ready",18
"ur","th",18
"vegas","time",18
"wait","go",18
"walmart","anime",18
"want","get",18
"wanting","good",18
"watch","wellstill",18
"watching","game",18
"way","promote",18
"wellstill","amazing",18
"will","definitely",18
"will","live",18
"will","longer",18
"william","shakespeare",18
"work","can",18
"work","hard",18
"woww","thanks",18
"yeah","goals",18
"yeah","good",18
"yet","come",18
"accuse","thinking",17
"acidity","water",17
"ago","orwell",17
"ago","yet",17
"along","way",17
"always","try",17
"amount","energy",17
"amount","time",17
"another","day",17
"answer","questions",17
"anthem","game",17
"ask","drama",17
"available","door",17
"babe","wait",17
"bacteria","live",17
"bacteria","use",17
"badgers","fans",17
"basketball","plays",17
"berlin","million",17
"birthday","kitty",17
"blessed","wife",17
"blessing","daughter",17
"boy","dd",17
"brady","bunch",17
"bunch","just",17
"business","strategy",17
"busy","day",17
"cake","made",17
"center","friday",17
"checkpoint","c",17
"chica","welcome",17
"clap","yur",17
"clayton","stoner",17
"come","pick",17
"contract","extension",17
"convert","ammonium",17
"cool","niece",17
"course","will",17
"create","ammonium",17
"dan","fornari",17
"day","point",17
"deal","launches",17
"defenseman","clayton",17
"dont","let",17
"door","miss",17
"drama","teens",17
"earth","dan",17
"efficient","enough",17
"electrons","efficient",17
"electrons","two",17
"enough","bacteria",17
"even","know",17
"event","hosted",17
"ever","go",17
"every","ions",17
"every","now",17
"extension","ap",17
"family","brady",17
"fans","kohl",17
"fantastic","speakers",17
"favorites","good",17
"feel","old",17
"finally","found",17
"finally","really",17
"fornari","marine",17
"forward","seeing",17
"friday","mens",17
"fucked","ask",17
"fun","sometimes",17
"game","tonight",17
"game","w",17
"generators","wre",17
"geologist","whoi",17
"glad","like",17
"go","give",17
"going","amazing",17
"going","back",17
"going","far",17
"gonna","sexy",17
"good","just",17
"good","ole",17
"got","home",17
"got","new",17
"gotten","picture",17
"gourmet","magazine",17
"haha","maybe",17
"hate","spiders",17
"hate","things",17
"heard","lot",17
"hello","boy",17
"hit","blessed",17
"home","depot",17
"homework","hours",17
"homework","thing",17
"hydroxide","nitrites",17
"hydroxide","water",17
"im","now",17
"increases","acidity",17
"ingredients","together",17
"intern","zach",17
"ions","create",17
"ions","energy",17
"ions","produced",17
"ions","used",17
"items","menu",17
"joans","work",17
"join","us",17
"just","hit",17
"just","projecting",17
"just","woke",17
"kid","hahaha",17
"kitty","libras",17
"know","snowing",17
"know","whydontujusttagmeinthem",17
"know","work",17
"kohl","center",17
"launches","today",17
"life","mistake",17
"like","best",17
"live","note",17
"look","randi",17
"love","s",17
"loved","watching",17
"magazine","one",17
"many","cases",17
"many","things",17
"marine","geologist",17
"mate","xx",17
"may","th",17
"means","bacteria",17
"mens","basketball",17
"middle","eastern",17
"midnight","showing",17
"million","contract",17
"million","years",17
"minnesota","wild",17
"miss","going",17
"miss","gourmet",17
"much","follow",17
"music","life",17
"must","learn",17
"n","roll",17
"n","u",17
"name","family",17
"need","start",17
"never","forget",17
"never","sought",17
"new","intern",17
"new","mattress",17
"next","day",17
"next","deal",17
"next","years",17
"niece","really",17
"night","fantastic",17
"nitrites","hydrogen",17
"nopee","supplying",17
"note","hydrogen",17
"nothing","like",17
"now","will",17
"ny","giants",17
"offline","night",17
"oh","really",17
"one","favorites",17
"one","man",17
"one","next",17
"orwell","year",17
"overwhelmed","blessing",17
"people","fake",17
"people","might",17
"people","prove",17
"people","touch",17
"picture","get",17
"play","pm",17
"plays","pm",17
"please","email",17
"pm","women",17
"positive","thinking",17
"pretty","cool",17
"pretty","fucked",17
"pretty","tan",17
"pretty","well",17
"produced","every",17
"producer","singing",17
"projecting","insanity",17
"prove","right",17
"psyched","producer",17
"puts","people",17
"randi","generators",17
"read","u",17
"really","love",17
"recap","topshop",17
"receiving","love",17
"rest","us",17
"rigth","yesterday",17
"rock","n",17
"rt","psyched",17
"ruth","wait",17
"s","recap",17
"saturday","may",17
"saw","spider",17
"say","better",17
"see","prog",17
"seeing","badgers",17
"seven","days",17
"sexy","kid",17
"shared","sense",17
"show","ruth",17
"show","will",17
"sign","defenseman",17
"singing","national",17
"single","n",17
"skin","gonna",17
"smell","like",17
"snowing","obsess",17
"sought","checkpoint",17
"st","louis",17
"start","homework",17
"still","bit",17
"still","computer",17
"stoner","twoyear",17
"supplying","venuee",17
"suppose","start",17
"sweet","little",17
"take","seriously",17
"tan","skin",17
"teacher","know",17
"teens","go",17
"thanks","chica",17
"thing","missing",17
"thing","pretty",17
"things","microsuede",17
"thinking","s",17
"thought","post",17
"tickets","available",17
"till","october",17
"time","berlin",17
"time","loved",17
"time","mate",17
"today","get",17
"top","gun",17
"topshop","event",17
"touch","earth",17
"tweet","us",17
"two","hydrogen",17
"twoyear","million",17
"u","ever",17
"u","gotten",17
"u","homework",17
"u","today",17
"unable","find",17
"use","small",17
"used","increases",17
"w","u",17
"water","convert",17
"way","can",17
"welcomes","new",17
"whatever","nothing",17
"wife","love",17
"wild","sign",17
"without","music",17
"women","play",17
"work","puts",17
"wre","offline",17
"yeah","know",17
"yeah","u",17
"year","never",17
"yesterday","look",17
"yet","im",17
"yur","hands",17
"ability","bless",16
"able","go",16
"account","allow",16
"account","okay",16
"age","clippers",16
"air","horns",16
"air","laura",16
"al","road",16
"aldo","fo",16
"allow","follow",16
"already","found",16
"amount","impact",16
"anna","maria",16
"approximately","fq",16
"art","form",16
"ashamed","odonnell",16
"asparagus","makes",16
"asshole","writing",16
"austin","mahone",16
"average","age",16
"aviary","joel",16
"aww","love",16
"back","house",16
"back","popular",16
"back","second",16
"bacon","cooks",16
"bag","swap",16
"baileys","talking",16
"bandana","pillow",16
"basketball","know",16
"bazaar","patty",16
"beer","distbrewery",16
"beer","garden",16
"believe","gold",16
"bell","ndsu",16
"bella","jewelrys",16
"bellagio","wish",16
"benartex","taza",16
"best","coast",16
"best","deal",16
"blamed","draftees",16
"bless","others",16
"blessed","helping",16
"block","take",16
"blood","pressure",16
"bloomington","see",16
"bottle","rockets",16
"bout","catch",16
"brights","kona",16
"broncos","sick",16
"brought","bottle",16
"bus","coral",16
"buy","wigs",16
"c","beer",16
"cab","twitter",16
"cake","designs",16
"called","austin",16
"can","finally",16
"can","hold",16
"can","say",16
"cash","games",16
"catch","drunk",16
"cats","may",16
"cause","account",16
"challenge","charm",16
"change","others",16
"changes","better",16
"changing","world",16
"chapter","tonight",16
"charm","pack",16
"check","daily",16
"chillen","genever",16
"christmas","sale",16
"ciao","bella",16
"circles","robert",16
"class","great",16
"clippers","roster",16
"clothworks","half",16
"come","across",16
"coming","weeks",16
"commonly","called",16
"cooks","differently",16
"coons","vs",16
"coral","kaffe",16
"cow","bell",16
"crack","know",16
"crap","kim",16
"crimitrent","clothworks",16
"crush","maybe",16
"dab","picture",16
"daily","gift",16
"dammit","going",16
"damore","benartex",16
"dance","oz",16
"day","life",16
"days","christmas",16
"deal","tweet",16
"deal","year",16
"dealing","old",16
"deb","strain",16
"delaware","ashamed",16
"demand","ciao",16
"dena","free",16
"deserves","deal",16
"design","inc",16
"designs","robert",16
"dewberry","free",16
"didnt","really",16
"differently","nite",16
"disengage","brain",16
"distbrewery","looking",16
"divas","jane",16
"dont","buy",16
"draftees","errors",16
"drunk","zs",16
"eandl","design",16
"ellen","crimitrent",16
"else","posting",16
"else","will",16
"errors","hardcoded",16
"et","al",16
"even","cow",16
"every","moment",16
"everything","list",16
"expect","anything",16
"family","solids",16
"far","multiple",16
"fassett","rowan",16
"fear","cats",16
"feels","good",16
"figure","procrastinate",16
"finally","see",16
"find","mistakes",16
"finish","chapter",16
"first","year",16
"fizzy","water",16
"flickr","like",16
"floralicious","michael",16
"flour","tortilla",16
"flowers","deb",16
"fo","zippy",16
"follow","ppl",16
"following","love",16
"fool","know",16
"fool","wonders",16
"fq","size",16
"fresh","flowers",16
"friends","ellen",16
"full","advantage",16
"games","bellagio",16
"garden","divas",16
"garden","please",16
"genever","class",16
"get","now",16
"gift","wholesale",16
"gives","sexy",16
"glad","come",16
"glory","god",16
"go","anything",16
"go","around",16
"go","bed",16
"go","lake",16
"goes","back",16
"going","kick",16
"going","offer",16
"gold","mars",16
"good","mood",16
"good","one",16
"good","reason",16
"goodie","bag",16
"got","best",16
"got","free",16
"grad","bazaar",16
"great","find",16
"gypsy","bandana",16
"hacker","even",16
"half","moon",16
"hands","today",16
"happy","search",16
"hard","take",16
"hardcoded","template",16
"heading","las",16
"hear","going",16
"help","rt",16
"help","sponsor",16
"helping","hands",16
"heyy","tweet",16
"hold","dammit",16
"hope","will",16
